sta  stla  stlo  az  dist  pga  pgv
D001 23.894972 121.542278 41.0624 36.0097 15.020247 0.875987
D002 23.896278 121.539861 40.6161 35.9582 9.066858 0.480076
D003 23.896389 121.542306 40.9023 36.1301 9.467613 0.598128
D005 23.899222 121.541222 40.4459 36.2956 10.102809 0.597242
D006 23.895944 121.548355 41.6829 36.5005 10.158143 0.691060
H001 24.782600 120.995700 345.785 129.448 1.368399 0.196189
H002 24.775330 121.015188 346.55 128.191 1.251568 0.162179
H004 24.772100 121.002000 345.932 128.163 1.250963 0.196995
H005 24.772850 121.009752 346.281 128.054 1.495444 0.194266
H006 24.773800 121.017700 346.642 127.966 1.385389 0.179068
H008 24.784200 121.001100 346.039 129.485 2.632524 0.660197
H009 24.784200 121.001100 346.039 129.485 2.211673 0.520562
H010 24.784200 121.001100 346.039 129.485 0.783500 0.190428
H013 23.101300 120.282200 240.162 121.384 3.119642 0.385354
H014 23.090000 120.285300 239.578 121.747 3.736391 0.504260
H015 23.117100 120.270600 241.157 121.548 3.663548 0.477110
H017 22.825200 120.278700 229.329 139.583 1.148018 0.230334
H018 24.322000 120.723900 321.412 95.3783 1.134829 0.081532
H019 24.205400 120.603100 310.664 94.6753 0.895260 0.093993
H01B 23.932451 120.429390 289.393 95.0433 1.805544 0.198193
H01D 24.734151 121.756910 20.6225 128.38 1.242887 0.198049
H01F 24.707029 120.923278 341.525 123.496 1.136675 0.157058
H020 24.804070 121.044186 348.128 130.647 1.087650 0.234749
H021 24.887514 121.188548 354.884 137.624 1.259869 0.186121
H022 24.050417 120.434806 296.623 99.5761 2.692760 0.166007
H023 23.748200 120.255600 275.986 108.084 1.963585 0.179381
H024 22.990450 120.204309 237.36 134.627 2.455169 0.187206
H025 23.478390 120.454028 257.9 89.4306 5.560831 0.333414
H026 23.561900 120.308700 264.745 102.656 2.924911 0.281681
H027 25.033142 121.515966 7.72725 154.621 0.361059 0.018992
H029 22.677200 120.291500 224.271 149.945 1.735855 0.159825
H02A 25.042800 121.515000 7.63806 155.668 1.317 NULL
H02B 24.136276 120.685729 310.396 83.32 2.642129 0.110115
H02C 23.936292 120.697778 297.062 69.9887 1.851451 0.171870
L001 22.982507 120.245741 236.03 131.582 2.022363 0.280901
L002 23.017126 120.248426 237.364 129.224 1.727160 0.248062
L003 23.015398 120.199802 238.462 133.531 1.961259 0.281376
L004 22.979378 120.196307 237.116 135.985 1.979012 0.299729
L005 22.997378 120.218641 237.292 132.977 1.732391 0.147703
L010 22.648000 120.523000 216.146 137.147 3.118384 0.241750
L011 22.594400 120.491800 215.798 143.84 1.242991 0.268662
L012 22.606100 120.611100 211.903 135.976 1.554938 0.136622
L013 22.199600 120.706900 201.182 172.123 0.353150 0.058095
L014 22.471100 120.551800 210.906 151.927 1.793607 0.204118
L015 22.777600 120.524200 219.933 125.715 2.971339 0.475003
L017 22.524300 120.452100 215.354 152.536 1.555269 0.359041
L020 22.722300 120.443300 220.987 135.753 1.629636 0.305045
L021 23.148900 120.632000 231.447 88.7854 1.967218 0.144576
L022 22.626600 120.324400 221.883 151.771 1.256687 0.249941
L023 22.887600 120.243800 232.472 137.949 1.244508 0.268149
L025 22.605000 120.395200 219.175 148.904 2.588237 0.377735
L026 22.997678 120.221560 237.233 132.708 1.497752 0.140410
S001 24.969167 121.335000 0.989962 146.137 1.300365 0.171338
S002 25.037800 121.443667 5.01563 154.315 2.277833 0.228021
S003 24.954783 121.384050 2.96241 144.717 1.792455 0.145431
S004 25.018233 121.452333 5.41573 152.237 1.299207 0.227253
S006 25.087117 121.465233 5.61908 159.958 3.235649 0.276697
S007 25.080650 121.435150 4.55599 158.972 1.912162 0.179223
S009 25.066733 121.641383 12.0267 160.485 2.997207 0.222861
S00A 24.938050 121.712850 15.9136 148.414 0.597048 0.037335
S00B 25.021917 121.914800 21.8717 163.886 0.602738 0.055240
S00C 25.104533 121.845767 18.534 170.031 0.545445 0.059293
S00D 25.177000 121.694700 12.9117 173.579 0.611373 0.062340
S00E 25.011167 121.448800 5.30967 151.424 1.613935 0.171817
S00F 25.004883 121.466317 6.00292 150.908 2.507042 0.230568
S010 24.997867 121.463033 5.90855 150.1 2.032858 0.161978
S011 24.999950 121.479317 6.52178 150.509 4.296782 0.342005
S012 25.003983 121.520883 8.07919 151.491 1.748305 0.139977
S015 25.033967 121.441700 4.9562 153.875 2.207138 0.223267
S016 25.025200 121.473083 6.16797 153.219 1.317694 0.199015
S017 25.028783 121.468267 5.97164 153.561 2.580755 0.234242
S018 25.029317 121.476817 6.28904 153.713 1.748709 0.179616
S019 25.024617 121.458883 5.63707 153.005 1.731864 0.182377
S01A 25.026783 121.463467 5.8003 153.291 1.791487 0.205808
S01B 24.986433 121.508800 7.72184 149.397 3.688913 0.257990
S01C 25.023467 121.458433 5.62486 152.874 2.091344 0.277119
S01E 25.035500 121.452017 5.33622 154.138 1.670032 0.216286
S01F 25.087635 121.489095 6.4736 160.272 1.602781 0.198154
T001 25.013404 121.541664 8.80217 152.835 2.028775 0.185114
T003 25.018646 121.541600 8.76635 153.407 1.077911 0.108761
W001 23.430417 121.348889 170.717 24.6415 37.184467 1.839471
W002 23.991833 121.631278 40.7844 50.0503 4.247750 0.278329
W003 23.841944 121.507583 43.4184 29.2868 27.050156 1.076919
W004 23.405833 121.319972 177.841 27.0611 23.688787 1.059793
W006 23.904417 121.531556 38.6652 36.1106 10.232994 0.452472
W007 24.102871 121.607052 31.0383 58.5768 19.019789 0.530055
W008 23.935333 121.578333 40.8176 41.7919 15.203299 0.439017
W009 23.493245 121.392330 154.152 19.2884 50.200134 3.505681
W00A 23.754167 121.468556 54.4627 19.8646 54.532677 1.688237
W00B 24.052278 121.608167 34.2236 53.9235 9.949 NULL
W00C 23.870444 121.508139 39.5612 31.6874 32.510883 0.933258
W00D 23.819498 121.473476 41.5684 25.1045 37.300232 1.038401
W00E 24.006861 121.619472 38.5194 50.5607 10.885276 0.409839
W00F 23.978000 121.616667 40.6405 47.919 5.783170 0.436839
W010 23.336306 121.313389 179.427 34.7438 22.078030 1.051813
W011 24.127639 121.651694 33.2679 63.3208 2.031755 0.187025
W013 23.965194 121.494444 28.2617 39.648 10.807182 0.385951
W014 24.118028 121.624750 31.6686 60.9479 9.384891 0.291774
W015 23.706194 121.412639 59.2496 12.1797 79.655037 2.242042
W017 23.497333 121.445750 140.635 21.8616 48.844028 1.603840
W018 23.468806 121.496806 136.42 27.6849 42.379349 1.676021
W019 23.295722 121.267278 186.355 39.4787 22.513216 0.792607
W01A 23.214528 121.279389 183.717 48.3301 6.165222 0.404012
W01B 23.462028 121.495417 137.682 28.1384 23.504646 1.200026
W01C 23.383167 121.358694 170.437 29.9677 22.710915 1.397615
W01D 23.782278 121.564306 60.4858 29.7852 24.933601 0.981212
W01E 23.451528 121.392806 158.944 23.5511 65.552696 3.359832
W01F 23.171583 121.247833 186.85 53.3643 5.320039 0.365657
W020 23.278472 121.322528 178.216 41.1668 17.863256 0.713607
W021 23.652083 121.535611 89.3808 23.0196 77.456757 2.295859
W022 23.867639 121.556806 46.1779 34.8435 19.938076 0.933426
W023 24.147600 121.629200 30.4678 63.9844 14.689737 0.425702
W024 23.601200 121.521900 103.991 22.2883 101.203018 5.500911
W025 23.659900 121.447900 85.5157 14.1116 90.715134 6.251473
W026 23.576900 121.361900 146.794 9.67478 419.200562 17.876732
W027 23.523100 121.390300 149.733 16.27 180.420166 5.655553
W028 23.979500 121.614900 40.3478 47.9278 7.435309 0.567732
W029 24.161400 121.652600 31.5607 66.5227 4.778650 0.241434
W02A 24.308000 121.748700 31.4038 85.4671 3.160889 0.136491
W02B 24.425800 121.749500 27.3988 96.8613 2.214674 0.111005
