sta      lat.    long.     elev.
ANPB   25.1828  121.5292   874.5 
CHGB   24.0602  121.1740  1846.5 
DYSB   24.8208  121.4049  1000.0 
FUSB   24.7597  121.5875   690.0 
GWUB   24.5059  121.1131  2159.0 
HGSD   23.4921  121.4239   134.8 
HOPB   24.3328  121.6929   160.0 
HWAB   23.9750  121.6134    20.0 
HWLB   23.9747  121.6138    66.9 
KMNB   24.4638  118.3882    65.6 
LATB   24.5353  121.5264  1020.0 
LXIB   24.0211  121.4133  1327.0 
LYUB   22.0485  121.5121    45.3 
MASB   22.6109  120.6326   105.9 
MATB   26.1402  119.9290    40.0 
NACB   24.1738  121.5947   215.0 
NNSB   24.4284  121.3828  1144.5 
PHUB   23.5114  119.5801    64.8 
RLNB   23.8911  120.3594    63.1 
SBCB   24.7924  120.9854   141.5 
SSLB   23.7876  120.9540   516.0 
SXI1   25.0942  121.8754   744.5 
SYNB   23.2482  120.9862  2352.0 
TDCB   24.2527  121.1583  1308.4 
TPUB   23.3005  120.6296   398.9 
TWGB   22.8177  121.0799   289.9 
TWKB   21.9409  120.8125   142.5 
WARB   23.7178  121.3862   331.4 
WFSB   25.0715  121.7816   775.3 
WUSB   23.9919  121.1175  1552.4 
YD07   25.1756  121.6200   442.0 
YHNB   24.6695  121.3757   777.2 
YULB   23.3925  121.2971   376.1 
VCHM   23.2087  119.4295    60.0 
VDOS   20.7010  116.7306     5.0 
VNAS   10.3774  114.3650     2.0 
VWDT   23.7537  121.1412  2578.0 
VWUC   24.9911  119.4492    42.0 
